Направление,Сделка,Экспирация,Актив,Время открытия,Время закрытия,Цена открытия,Цена закрытия,Размер сделки,Прибыль,Валюта
put,6af38cc6-3a0a-4467-b119-c39262dd00e8,S60,EUR/USD OTC,2026-09-09 23:26:08,2026-09-09 23:27:08,1.15476,1.15448,2200,2024,USD
put,4ced09ac-fffd-4563-9b83-bed4d4111418,S60,EUR/USD OTC,2026-09-09 23:26:08,2026-09-09 23:27:08,1.15476,1.15448,2200,2024,USD
call,412774c3-6f90-448e-a7fe-f8e6e92a94f0,S60,EUR/USD OTC,2026-09-09 23:20:05,2026-09-09 23:21:05,1.15465,1.1545,2200,-2200,USD
put,f85ed22c-27d7-4514-ac4e-e28e7be95626,S60,EUR/USD OTC,2026-09-09 22:48:54,2026-09-09 22:49:54,1.15389,1.15356,2200,2024,USD
call,f93a648c-04ef-40c0-9fad-45951427c5d7,S60,EUR/USD OTC,2026-09-09 22:26:17,2026-09-09 22:27:17,1.15429,1.15446,2200,1914,USD
call,1cd3d912-5335-4ed2-a536-58c0daf2a5e2,S60,EUR/USD OTC,2026-09-09 22:24:20,2026-09-09 22:25:20,1.15421,1.15421,2200,0,USD
call,bc8ff350-c2e8-4c06-8d5d-fc9d401e5e5d,S60,EUR/USD OTC,2026-09-09 22:21:29,2026-09-09 22:22:29,1.15427,1.15468,2200,2024,USD
call,fa76302a-a9cc-4c7f-9362-b7bc8379fa0e,S60,AUD/USD OTC,2026-09-09 21:10:47,2026-09-09 21:11:47,0.72862,0.72902,2200,2024,USD
put,fb4adda8-f98e-466c-854f-492711d0a438,S60,EUR/USD OTC,2026-09-09 18:58:21,2026-09-09 18:59:21,1.16308,1.16265,2200,2024,USD
put,39a58a60-3168-4723-b7da-7a1f3688aa23,S60,EUR/USD OTC,2026-09-09 18:56:32,2026-09-09 18:57:32,1.16368,1.16323,2200,2024,USD
put,d98d3ef2-7dc7-4040-8ab0-a02211a61e7d,S60,EUR/USD OTC,2026-09-09 17:05:13,2026-09-09 17:06:13,1.16156,1.16128,2200,2024,USD
put,ab6e0904-aa48-44f4-983b-6fa36a690d73,S60,EUR/USD OTC,2026-09-09 17:05:13,2026-09-09 17:06:13,1.16156,1.16128,2200,2024,USD
put,188e99ac-4839-4f86-b3d0-23c0f6e2eedb,S60,EUR/USD OTC,2026-09-09 17:05:13,2026-09-09 17:06:13,1.16148,1.16128,2200,2024,USD
put,a5ee188d-1f23-4424-8ce5-db514a0a35c3,S60,EUR/USD OTC,2026-09-09 17:05:12,2026-09-09 17:06:12,1.16155,1.16128,2200,2024,USD
put,7db403da-3af7-4c78-94a0-5e60da17b0e8,S60,EUR/USD OTC,2026-09-09 17:05:12,2026-09-09 17:06:12,1.16155,1.16128,2200,2024,USD
call,762d1035-57ef-4e91-81c5-cf6735c9a34e,S60,EUR/USD OTC,2026-09-09 11:35:35,2026-09-09 11:36:35,1.15752,1.15758,2200,2024,USD
call,25981437-ea41-42b4-9bff-00e0c4dc9080,S60,EUR/USD OTC,2026-09-09 11:35:35,2026-09-09 11:36:35,1.15748,1.15758,2200,2024,USD
call,b3b2e563-2e4f-40a9-901d-82e89a8bbbf2,S60,EUR/USD OTC,2026-09-09 11:32:15,2026-09-09 11:33:15,1.15735,1.1574,2200,2024,USD
call,75a63501-e602-4d1b-bef4-aa5d90ded2fd,S60,EUR/USD OTC,2026-09-09 11:32:15,2026-09-09 11:33:15,1.15735,1.1574,2200,2024,USD
call,2c2919df-751f-4a60-83e1-c253998d1b6e,S60,EUR/USD OTC,2026-09-09 11:32:15,2026-09-09 11:33:15,1.15735,1.1574,2200,2024,USD
call,f28213aa-1d6d-48b5-aa17-c7ef13536aef,S60,EUR/USD OTC,2026-09-09 11:32:14,2026-09-09 11:33:14,1.15735,1.15735,2200,0,USD
call,144cebb4-0f6f-48b4-a343-95f42f4679a1,S60,EUR/USD OTC,2026-09-09 11:32:14,2026-09-09 11:33:14,1.15735,1.15735,2200,0,USD
call,af7fd4bc-7afb-4ec3-b741-cdd8caaca275,S60,EUR/USD OTC,2026-09-09 11:31:31,2026-09-09 11:32:31,1.15767,1.15739,2200,-2200,USD
put,17ca703b-3e36-45e2-ba4b-03622d48c327,S30,EUR/USD OTC,2026-09-09 11:31:04,2026-09-09 11:31:34,1.15744,1.15762,2200,-2200,USD
call,9ffb9679-c27c-4380-9bef-4f670f2ca8fd,S15,EUR/USD OTC,2026-09-09 11:30:41,2026-09-09 11:30:56,1.15751,1.15744,2200,-2200,USD
put,1c7bcb39-e743-444a-ac5f-6ca73177ae29,S15,EUR/USD OTC,2026-09-09 11:30:13,2026-09-09 11:30:28,1.15759,1.15764,2200,-2200,USD
put,edcfe672-319b-4810-82f9-fdbf5a65f329,S15,EUR/USD OTC,2026-09-09 11:29:42,2026-09-09 11:29:57,1.15783,1.15767,5500,5060,USD
put,ff64c6e8-f124-47b3-8f94-4ef5fa9317a6,S15,EUR/USD OTC,2026-09-09 11:29:16,2026-09-09 11:29:31,1.15782,1.15772,2200,2024,USD
call,1d84ff14-08aa-4436-87ab-c09aa32ea7b1,S15,EUR/USD OTC,2026-09-09 11:28:49,2026-09-09 11:29:04,1.15769,1.15763,2200,-2200,USD
call,c088e291-35f1-4bf3-b6a1-a3297df3d8f4,S5,EUR/USD OTC,2026-09-09 00:23:45,2026-09-09 00:23:50,1.16641,1.1664,2200,-2200,USD
put,e2a7ca0d-4340-44c9-a402-4f94b59698a0,S5,EUR/USD OTC,2026-09-09 00:23:23,2026-09-09 00:23:28,1.16644,1.1666,2200,-2200,USD
call,bd3a5d0e-86a3-43f7-abf3-f138a6cf8a82,S15,EUR/USD OTC,2026-09-09 00:23:00,2026-09-09 00:23:15,1.16672,1.16648,2200,-2200,USD
put,6e3e0699-f988-4a06-97bd-e2ccfde7edf1,S15,EUR/USD OTC,2026-09-09 00:22:41,2026-09-09 00:22:56,1.16656,1.16666,2200,-2200,USD
call,186f22d3-a4d9-4728-a5a6-ab4a976ed270,S15,EUR/USD OTC,2026-09-09 00:21:58,2026-09-09 00:22:13,1.16681,1.16685,2200,2024,USD
